a	occurrence?id_SignBankVariant=373
(2h)delete_3	occurrence?id_SignBankVariant=4457

deliberate	occurrence?id_SignBankVariant=4552

delicious	occurrence?id_SignBankVariant=962
delicious_2	occurrence?id_SignBankVariant=963

democrat	occurrence?id_SignBankVariant=964

dentist	occurrence?id_SignBankVariant=965

deny	occurrence?id_SignBankVariant=966

depart	occurrence?id_SignBankVariant=4408
depart:j	occurrence?id_SignBankVariant=4409

department	occurrence?id_SignBankVariant=967

depend	occurrence?id_SignBankVariant=968

deposit	occurrence?id_SignBankVariant=969

depress	occurrence?id_SignBankVariant=970
(5)depress	occurrence?id_SignBankVariant=4437
(d)depress	occurrence?id_SignBankVariant=233

destroy	occurrence?id_SignBankVariant=971

detective	occurrence?id_SignBankVariant=972

deteriorate	occurrence?id_SignBankVariant=973

ns-detroit	occurrence?id_SignBankVariant=1976

develop	occurrence?id_SignBankVariant=974
(d)develop	occurrence?id_SignBankVariant=234

devil/mischievous	occurrence?id_SignBankVariant=975
(2h)devil/mischievous	occurrence?id_SignBankVariant=148
(2h)mischievous	occurrence?id_SignBankVariant=162

devour	occurrence?id_SignBankVariant=976

dial-rotary	occurrence?id_SignBankVariant=977

dialog	occurrence?id_SignBankVariant=978

diamond	occurrence?id_SignBankVariant=979

diarrhea	occurrence?id_SignBankVariant=6001

dictionary	occurrence?id_SignBankVariant=980

die	occurrence?id_SignBankVariant=981
(1h)die	occurrence?id_SignBankVariant=6395

different	occurrence?id_SignBankVariant=4412
(1h)different	occurrence?id_SignBankVariant=7871
different-arc	occurrence?id_SignBankVariant=4413

dim	occurrence?id_SignBankVariant=982
*dim (light+dim)	occurrence?id_SignBankVariant=6090
dim_2	occurrence?id_SignBankVariant=983

dimple	occurrence?id_SignBankVariant=984
(1h)dimple	occurrence?id_SignBankVariant=75

dinner	occurrence?id_SignBankVariant=985
dinner* (dinner+box/room)	occurrence?id_SignBankVariant=3477

dinner+box/room	occurrence?id_SignBankVariant=3476

dinosaur	occurrence?id_SignBankVariant=986
(d)dinosaur	occurrence?id_SignBankVariant=235

diploma	occurrence?id_SignBankVariant=987
(o)diploma	occurrence?id_SignBankVariant=300

direct	occurrence?id_SignBankVariant=988
direct* (direct+agent)	occurrence?id_SignBankVariant=3480
direct/explain	occurrence?id_SignBankVariant=4742

direct+agent	occurrence?id_SignBankVariant=3479

dirty	occurrence?id_SignBankVariant=989

disagree	occurrence?id_SignBankVariant=990

disappear	occurrence?id_SignBankVariant=991

disappoint	occurrence?id_SignBankVariant=992
(2h)alt.disappoint	occurrence?id_SignBankVariant=4712

discipline	occurrence?id_SignBankVariant=993
(nd-1)discipline	occurrence?id_SignBankVariant=281

disconnect	occurrence?id_SignBankVariant=994

discriminate	occurrence?id_SignBankVariant=995

discuss	occurrence?id_SignBankVariant=996
discuss-intensely	occurrence?id_SignBankVariant=997

disgust	occurrence?id_SignBankVariant=998

dish	occurrence?id_SignBankVariant=999
*dish (meat+dish)	occurrence?id_SignBankVariant=5481
*dish-pl (wash+dish-pl)	occurrence?id_SignBankVariant=4229
dish-pl	occurrence?id_SignBankVariant=1000

dismiss	occurrence?id_SignBankVariant=1001

distribute	occurrence?id_SignBankVariant=1002

dive	occurrence?id_SignBankVariant=1003
dive_2	occurrence?id_SignBankVariant=1006

dive-off-board	occurrence?id_SignBankVariant=1004
dive-off-board_2	occurrence?id_SignBankVariant=1005

diversity	occurrence?id_SignBankVariant=6464

divide	occurrence?id_SignBankVariant=1007

divorce	occurrence?id_SignBankVariant=1008

dizzy	occurrence?id_SignBankVariant=1009

do	occurrence?id_SignBankVariant=1010

#do	occurrence?id_SignBankVariant=4358
#do* (#do+part:indef)	occurrence?id_SignBankVariant=7808

#do+part:indef	occurrence?id_SignBankVariant=7810

do-do	occurrence?id_SignBankVariant=1011
(1h)do-do	occurrence?id_SignBankVariant=76
*do-do (list+do-do)	occurrence?id_SignBankVariant=3810
do-do* (do-do+"what")	occurrence?id_SignBankVariant=6076
do-do* (do-do+happen)	occurrence?id_SignBankVariant=3483
do-do-multitask	occurrence?id_SignBankVariant=6002

do-do+"what"	occurrence?id_SignBankVariant=6295

do-do+happen	occurrence?id_SignBankVariant=3482

#do-it	occurrence?id_SignBankVariant=4609

doctor	occurrence?id_SignBankVariant=1012
(d)doctor	occurrence?id_SignBankVariant=236

#dog	occurrence?id_SignBankVariant=14
#dog_2	occurrence?id_SignBankVariant=4453

dog	occurrence?id_SignBankVariant=4421

dollar	occurrence?id_SignBankVariant=1013
dollar_2	occurrence?id_SignBankVariant=1014

dolphin	occurrence?id_SignBankVariant=5638

don't	occurrence?id_SignBankVariant=1015

donkey	occurrence?id_SignBankVariant=1016
(2h)donkey	occurrence?id_SignBankVariant=149

donut	occurrence?id_SignBankVariant=1017
(r)donut	occurrence?id_SignBankVariant=313

door	occurrence?id_SignBankVariant=1018
*door (cold+door)	occurrence?id_SignBankVariant=3436
*door (square+door)	occurrence?id_SignBankVariant=4080
door* (door+square)	occurrence?id_SignBankVariant=3486
door-pl	occurrence?id_SignBankVariant=1019

door+square	occurrence?id_SignBankVariant=3485

doorbell	occurrence?id_SignBankVariant=1020
(1h)doorbell	occurrence?id_SignBankVariant=77

dorm	occurrence?id_SignBankVariant=1021

doubt	occurrence?id_SignBankVariant=1022
doubt-1p	occurrence?id_SignBankVariant=4392

down	occurrence?id_SignBankVariant=1023

down-to-earth	occurrence?id_SignBankVariant=1024

downhill	occurrence?id_SignBankVariant=6590

download	occurrence?id_SignBankVariant=5662

downstairs	occurrence?id_SignBankVariant=1025

dragon	occurrence?id_SignBankVariant=1026

draw-blood	occurrence?id_SignBankVariant=5681

dreadlock	occurrence?id_SignBankVariant=5658
dreadlock_2	occurrence?id_SignBankVariant=5659

dream	occurrence?id_SignBankVariant=1027
*dream (bad+dream)	occurrence?id_SignBankVariant=3266

dress/clothes	occurrence?id_SignBankVariant=1028
(1h)dress/clothes	occurrence?id_SignBankVariant=6567
*dress/clothes (bath+dress/clothes)	occurrence?id_SignBankVariant=3281
*dress/clothes (beautiful+dress/clothes)	occurrence?id_SignBankVariant=3287
*dress/clothes (sleep+dress/clothes)	occurrence?id_SignBankVariant=4062
dress/clothes* (dress/clothes+clip)	occurrence?id_SignBankVariant=5979

dress/clothes+clip	occurrence?id_SignBankVariant=6041

dresser	occurrence?id_SignBankVariant=1029
(s)dresser	occurrence?id_SignBankVariant=339

dribble	occurrence?id_SignBankVariant=1030
(2h)dribble* ((2h)dribble+shoot-basket)	occurrence?id_SignBankVariant=3157

(2h)dribble+shoot-basket	occurrence?id_SignBankVariant=3156

drill	occurrence?id_SignBankVariant=1031
drill_2	occurrence?id_SignBankVariant=1032

drink	occurrence?id_SignBankVariant=1033
(2h)(y)drink	occurrence?id_SignBankVariant=4579
(y)drink	occurrence?id_SignBankVariant=366
cocktail	occurrence?id_SignBankVariant=810

drip	occurrence?id_SignBankVariant=1034
(1h)drip	occurrence?id_SignBankVariant=78
(2h)alt.drip	occurrence?id_SignBankVariant=133

drive	occurrence?id_SignBankVariant=1035
*drive* (#bus+drive+agent)	occurrence?id_SignBankVariant=6351
drive-around	occurrence?id_SignBankVariant=1036
drive:j	occurrence?id_SignBankVariant=4402

drool	occurrence?id_SignBankVariant=1038
drool_2	occurrence?id_SignBankVariant=1039

drop	occurrence?id_SignBankVariant=1040
(1h)drop	occurrence?id_SignBankVariant=79

*drop-coins (park+drop-coins)	occurrence?id_SignBankVariant=3932

drown	occurrence?id_SignBankVariant=1041
(v)drown	occurrence?id_SignBankVariant=352

drugs	occurrence?id_SignBankVariant=1042

drums	occurrence?id_SignBankVariant=1043

drunk	occurrence?id_SignBankVariant=1044
(2h)drunk	occurrence?id_SignBankVariant=4514

dry	occurrence?id_SignBankVariant=1045
dry* (dry+(1h)area)	occurrence?id_SignBankVariant=3489
dry* (dry+(nd-c)spin)	occurrence?id_SignBankVariant=3492
dry* (dry+area)	occurrence?id_SignBankVariant=3501
dry* (dry+area_2)	occurrence?id_SignBankVariant=3504
dry* (dry+flat/floor)	occurrence?id_SignBankVariant=5428
dry* (dry+washing-machine)	occurrence?id_SignBankVariant=3507

dry+(1h)area	occurrence?id_SignBankVariant=3488

dry+(nd-c)spin	occurrence?id_SignBankVariant=3491

dry+area	occurrence?id_SignBankVariant=3500

dry+area_2	occurrence?id_SignBankVariant=3503

dry+flat/floor	occurrence?id_SignBankVariant=5731

dry+washing-machine	occurrence?id_SignBankVariant=3506

dry-cereal	occurrence?id_SignBankVariant=1046

duck	occurrence?id_SignBankVariant=1047

during/while	occurrence?id_SignBankVariant=1048

dusting	occurrence?id_SignBankVariant=1049
(2h)dusting	occurrence?id_SignBankVariant=5591

duty	occurrence?id_SignBankVariant=1050

#dw	occurrence?id_SignBankVariant=5542

dye	occurrence?id_SignBankVariant=1051
*dye (hair+dye)	occurrence?id_SignBankVariant=5378
*dye (hair_2+dye)	occurrence?id_SignBankVariant=5019

e	occurrence?id_SignBankVariant=1052

e-mail	occurrence?id_SignBankVariant=1053
(1)e-mail	occurrence?id_SignBankVariant=47
(1)e-mail-1p	occurrence?id_SignBankVariant=6215

(e)e-mail	occurrence?id_SignBankVariant=237

e-mail_2	occurrence?id_SignBankVariant=1054

each	occurrence?id_SignBankVariant=1055
each* (each+one)	occurrence?id_SignBankVariant=3510
each* (each+one-pl-arc)	occurrence?id_SignBankVariant=3513
each* (each+one_2-pl-arc)	occurrence?id_SignBankVariant=7933
each* (each+where)	occurrence?id_SignBankVariant=3516

each+one	occurrence?id_SignBankVariant=3509

each+one-pl-arc	occurrence?id_SignBankVariant=3512

each+one_2-pl-arc	occurrence?id_SignBankVariant=7934

each+where	occurrence?id_SignBankVariant=3515

eagle	occurrence?id_SignBankVariant=1056

ear-hurt	occurrence?id_SignBankVariant=1057
*ear-hurt (ear_2/birthday_2+ear-hurt)	occurrence?id_SignBankVariant=7711
*ear-hurt (hear+ear-hurt)	occurrence?id_SignBankVariant=3520

ear_2/birthday_2	occurrence?id_SignBankVariant=1058
ear_2/birthday_2* (ear_2/birthday_2+ear-hurt)	occurrence?id_SignBankVariant=7710

ear_2/birthday_2+ear-hurt	occurrence?id_SignBankVariant=7720

#early	occurrence?id_SignBankVariant=15

earmuff	occurrence?id_SignBankVariant=1059

earring	occurrence?id_SignBankVariant=1060
(1h)earring	occurrence?id_SignBankVariant=6371

earth	occurrence?id_SignBankVariant=1061
earth* (earth+globe)	occurrence?id_SignBankVariant=6734
earth* (earth+rumble)	occurrence?id_SignBankVariant=3522
earth* (earth+sphere)	occurrence?id_SignBankVariant=3525

earth+globe	occurrence?id_SignBankVariant=6765

earth+rumble	occurrence?id_SignBankVariant=3521

earth+sphere	occurrence?id_SignBankVariant=3524

east	occurrence?id_SignBankVariant=1062

easter	occurrence?id_SignBankVariant=1063
(1h)easter	occurrence?id_SignBankVariant=80
easter_2	occurrence?id_SignBankVariant=1064

easy	occurrence?id_SignBankVariant=1065
easy* (easy+(1h)most)	occurrence?id_SignBankVariant=5055

easy+(1h)most	occurrence?id_SignBankVariant=5203

easy-going	occurrence?id_SignBankVariant=5657

eat	occurrence?id_SignBankVariant=1066
(2h)alt.eat	occurrence?id_SignBankVariant=134
(2h)eat	occurrence?id_SignBankVariant=4490
eat* (eat+box/room)	occurrence?id_SignBankVariant=3537
eat* (eat+buy)	occurrence?id_SignBankVariant=3540
eat* (eat+morning)	occurrence?id_SignBankVariant=3543
eat* (eat+night)	occurrence?id_SignBankVariant=3546
eat* (eat+noon)	occurrence?id_SignBankVariant=3552
eat* (eat+sell)	occurrence?id_SignBankVariant=3558
eat_2	occurrence?id_SignBankVariant=1068
eat_2* (eat_2+morning)	occurrence?id_SignBankVariant=6273

eat+box/room	occurrence?id_SignBankVariant=3536

eat+buy	occurrence?id_SignBankVariant=3539

eat+morning	occurrence?id_SignBankVariant=3542

eat+night	occurrence?id_SignBankVariant=3545

eat+noon	occurrence?id_SignBankVariant=3551

eat+sell	occurrence?id_SignBankVariant=3533

eat-by-spoon	occurrence?id_SignBankVariant=5809

(1h)eat-up	occurrence?id_SignBankVariant=81

eat-with-fork	occurrence?id_SignBankVariant=1067

eat_2+morning	occurrence?id_SignBankVariant=6286

economic	occurrence?id_SignBankVariant=1069

ns-ecuador	occurrence?id_SignBankVariant=1977

#ed	occurrence?id_SignBankVariant=16
(1h)#ed	occurrence?id_SignBankVariant=61

edge/cliff	occurrence?id_SignBankVariant=1070
edge_2	occurrence?id_SignBankVariant=1071
edge_3	occurrence?id_SignBankVariant=1072

edit	occurrence?id_SignBankVariant=5673

(2h)#eek	occurrence?id_SignBankVariant=5670

effort	occurrence?id_SignBankVariant=1073

egg	occurrence?id_SignBankVariant=1074
egg-pl	occurrence?id_SignBankVariant=1075

ego	occurrence?id_SignBankVariant=1076
(2h)alt.ego	occurrence?id_SignBankVariant=135

ns-egypt	occurrence?id_SignBankVariant=1978

eight	occurrence?id_SignBankVariant=1077
*eight (cent+eight)	occurrence?id_SignBankVariant=3415
*eight (ten+eight)	occurrence?id_SignBankVariant=4107
*eight (time+eight)	occurrence?id_SignBankVariant=6393
eight* (eight+hour)	occurrence?id_SignBankVariant=3561

eight+hour	occurrence?id_SignBankVariant=3560

eight-hours	occurrence?id_SignBankVariant=1078

eight-months	occurrence?id_SignBankVariant=1079

eight-weeks	occurrence?id_SignBankVariant=1080

eighteen	occurrence?id_SignBankVariant=1081

eighth	occurrence?id_SignBankVariant=1082

eighth-place	occurrence?id_SignBankVariant=1083

eighty-eight	occurrence?id_SignBankVariant=1084
eighty-eight_2	occurrence?id_SignBankVariant=1085

eighty-nine	occurrence?id_SignBankVariant=1086

eighty-two	occurrence?id_SignBankVariant=5201

either	occurrence?id_SignBankVariant=1087

ns-el-salvador	occurrence?id_SignBankVariant=1979

elastic	occurrence?id_SignBankVariant=1088

elbow	occurrence?id_SignBankVariant=1089

elbow-patch	occurrence?id_SignBankVariant=1090

electric	occurrence?id_SignBankVariant=1091
(e)electric	occurrence?id_SignBankVariant=238
electric* (electric+agent)	occurrence?id_SignBankVariant=3564

electric+agent	occurrence?id_SignBankVariant=3563

elementary	occurrence?id_SignBankVariant=1092
elementary* (elementary+school)	occurrence?id_SignBankVariant=5523

elementary+school	occurrence?id_SignBankVariant=5792

elephant	occurrence?id_SignBankVariant=1093

elevator	occurrence?id_SignBankVariant=1094
(nd-1)elevator	occurrence?id_SignBankVariant=282

eleven	occurrence?id_SignBankVariant=1095

embarrass	occurrence?id_SignBankVariant=1096

embezzle	occurrence?id_SignBankVariant=6017

emergency	occurrence?id_SignBankVariant=1097
(2h)emergency	occurrence?id_SignBankVariant=150

emotion	occurrence?id_SignBankVariant=1098
emotion_2	occurrence?id_SignBankVariant=1099

emotionless	occurrence?id_SignBankVariant=1100
(2h)emotionless	occurrence?id_SignBankVariant=6129

emphasize	occurrence?id_SignBankVariant=1101

empty-from-now-on	occurrence?id_SignBankVariant=4442

empty-street	occurrence?id_SignBankVariant=6046

empty/early	occurrence?id_SignBankVariant=1102
early_2	occurrence?id_SignBankVariant=4740
empty/early* (empty/early+(1h)most)	occurrence?id_SignBankVariant=4983
empty/early_2	occurrence?id_SignBankVariant=1103
empty/early_3	occurrence?id_SignBankVariant=1104

empty/early+(1h)most	occurrence?id_SignBankVariant=5200

empty/naked	occurrence?id_SignBankVariant=1105

encourage	occurrence?id_SignBankVariant=1106

encyclopedia	occurrence?id_SignBankVariant=1107
encyclopedia_2	occurrence?id_SignBankVariant=1108

end	occurrence?id_SignBankVariant=1109

energy	occurrence?id_SignBankVariant=1110

engagement	occurrence?id_SignBankVariant=1111
engagement_2	occurrence?id_SignBankVariant=1112

engine	occurrence?id_SignBankVariant=1113
*engine (car+engine)	occurrence?id_SignBankVariant=3394

engine_3/cylinders	occurrence?id_SignBankVariant=5771

engineering	occurrence?id_SignBankVariant=6154
(2h)alt.engineering* ((2h)alt.engineering+agent)	occurrence?id_SignBankVariant=3145
engineering* (engineering+agent)	occurrence?id_SignBankVariant=3567

(2h)alt.engineering+agent	occurrence?id_SignBankVariant=3144

engineering+agent	occurrence?id_SignBankVariant=3566

ns-england/english	occurrence?id_SignBankVariant=1980

enjoy	occurrence?id_SignBankVariant=1114
please/(1h)enjoy	occurrence?id_SignBankVariant=2233

enough	occurrence?id_SignBankVariant=1115
(rd)enough	occurrence?id_SignBankVariant=7937
*enough ((1h)good/thank-you+enough)	occurrence?id_SignBankVariant=6054
*enough (good+enough)	occurrence?id_SignBankVariant=3672

enter	occurrence?id_SignBankVariant=1116
*enter (break+enter)	occurrence?id_SignBankVariant=4910
enter:j	occurrence?id_SignBankVariant=6397

environment	occurrence?id_SignBankVariant=1117

episcopal	occurrence?id_SignBankVariant=1118

equal	occurrence?id_SignBankVariant=1119
equal-arc	occurrence?id_SignBankVariant=6452

equipment	occurrence?id_SignBankVariant=1120
(nd-e)equipment	occurrence?id_SignBankVariant=293

erase	occurrence?id_SignBankVariant=1121

erase-board	occurrence?id_SignBankVariant=1122

erect	occurrence?id_SignBankVariant=1123

escape	occurrence?id_SignBankVariant=1124

establish	occurrence?id_SignBankVariant=5755

etcetera	occurrence?id_SignBankVariant=1125

ns-europe	occurrence?id_SignBankVariant=1981
ns-europe_2	occurrence?id_SignBankVariant=1982

evaluate	occurrence?id_SignBankVariant=1126

every* (every+(2h)thing)	occurrence?id_SignBankVariant=3570
every* (every+one)	occurrence?id_SignBankVariant=5036

every+(2h)thing	occurrence?id_SignBankVariant=3569

every+one	occurrence?id_SignBankVariant=5202

every-afternoon	occurrence?id_SignBankVariant=5690

every-friday	occurrence?id_SignBankVariant=1128

every-monday	occurrence?id_SignBankVariant=1129

every-month/rent	occurrence?id_SignBankVariant=1130

every-morning	occurrence?id_SignBankVariant=4636

every-night	occurrence?id_SignBankVariant=6407

every-saturday	occurrence?id_SignBankVariant=1131

every-sunday	occurrence?id_SignBankVariant=1132

every-thursday	occurrence?id_SignBankVariant=1133
(h)every-thursday	occurrence?id_SignBankVariant=256
every-thursday_2	occurrence?id_SignBankVariant=1134

every-tuesday	occurrence?id_SignBankVariant=1135

every-two-years	occurrence?id_SignBankVariant=1136

every-wednesday	occurrence?id_SignBankVariant=1137

every-year	occurrence?id_SignBankVariant=1139

everyday	occurrence?id_SignBankVariant=1140

eww	occurrence?id_SignBankVariant=6415

#ex	occurrence?id_SignBankVariant=5404

exact	occurrence?id_SignBankVariant=1141
exact_2	occurrence?id_SignBankVariant=1142

exaggerate	occurrence?id_SignBankVariant=1143

exceed	occurrence?id_SignBankVariant=1144

excited	occurrence?id_SignBankVariant=1146

excuse	occurrence?id_SignBankVariant=1147

exhaust	occurrence?id_SignBankVariant=4473
*exhaust (tired+exhaust)	occurrence?id_SignBankVariant=5975

expand	occurrence?id_SignBankVariant=1148
(1h)expand	occurrence?id_SignBankVariant=4767

expensive	occurrence?id_SignBankVariant=1149
expensive_2	occurrence?id_SignBankVariant=1150

experience	occurrence?id_SignBankVariant=1151

experiment	occurrence?id_SignBankVariant=1152

expert	occurrence?id_SignBankVariant=1153

exploit	occurrence?id_SignBankVariant=1155

expose	occurrence?id_SignBankVariant=1156
expose_2	occurrence?id_SignBankVariant=1157

express	occurrence?id_SignBankVariant=1158

extensive-knowledge	occurrence?id_SignBankVariant=4474

eye-mask	occurrence?id_SignBankVariant=1159

eyebrow	occurrence?id_SignBankVariant=1160

eyebrow-frown	occurrence?id_SignBankVariant=1161

eyelashes	occurrence?id_SignBankVariant=1162

eyes	occurrence?id_SignBankVariant=1163
eyes* (eyes+vague)	occurrence?id_SignBankVariant=5502

eyes+vague	occurrence?id_SignBankVariant=5819

f	occurrence?id_SignBankVariant=1164

*(v)face ((1h)good/thank-you+(v)face)	occurrence?id_SignBankVariant=6531
(v)face* ((v)face+nice/clean)	occurrence?id_SignBankVariant=6749
(v)face* ((v)face+same)	occurrence?id_SignBankVariant=6656

face	occurrence?id_SignBankVariant=1165
(5)face	occurrence?id_SignBankVariant=181
(5)face* ((5)face+nice/clean)	occurrence?id_SignBankVariant=6226
(5)face* ((5)face+same)	occurrence?id_SignBankVariant=3174
*(5)face (white+(5)face)	occurrence?id_SignBankVariant=4277
face* (face+dcl"face")	occurrence?id_SignBankVariant=6736
face* (face+nice/clean)	occurrence?id_SignBankVariant=3573
face* (face+same)	occurrence?id_SignBankVariant=3576
face* (face+strong)	occurrence?id_SignBankVariant=3579

face+dcl"face"	occurrence?id_SignBankVariant=6773

(5)face+nice/clean	occurrence?id_SignBankVariant=6228

(v)face+nice/clean	occurrence?id_SignBankVariant=6774

face+nice/clean	occurrence?id_SignBankVariant=3572

(5)face+same	occurrence?id_SignBankVariant=3173

(v)face+same	occurrence?id_SignBankVariant=6661

face+same	occurrence?id_SignBankVariant=3575

face+strong	occurrence?id_SignBankVariant=3578

facial-expression	occurrence?id_SignBankVariant=1166

faculty	occurrence?id_SignBankVariant=1167

fail	occurrence?id_SignBankVariant=1168

*faith (think+faith)	occurrence?id_SignBankVariant=4122

fall	occurrence?id_SignBankVariant=1169
(1h)fall	occurrence?id_SignBankVariant=82
fall_2	occurrence?id_SignBankVariant=1172
fall_3	occurrence?id_SignBankVariant=1173

fall-in-love	occurrence?id_SignBankVariant=1170

fall-into-place	occurrence?id_SignBankVariant=1171

false	occurrence?id_SignBankVariant=1174

falsehood	occurrence?id_SignBankVariant=1175

family	occurrence?id_SignBankVariant=1176
family* (family+box/room)	occurrence?id_SignBankVariant=5609

family+box/room	occurrence?id_SignBankVariant=5728

famous	occurrence?id_SignBankVariant=1177

fancy	occurrence?id_SignBankVariant=1178
(2h)alt.fancy	occurrence?id_SignBankVariant=4397
(2h)alt.fancy* ((2h)alt.fancy+box/room)	occurrence?id_SignBankVariant=6113
fancy* (fancy+box/room)	occurrence?id_SignBankVariant=3582

fancy+box/room	occurrence?id_SignBankVariant=3581

(2h)alt.fancy+box/room	occurrence?id_SignBankVariant=6115

#fans	occurrence?id_SignBankVariant=6833

fantasy	occurrence?id_SignBankVariant=1179

far	occurrence?id_SignBankVariant=1180
(1)far	occurrence?id_SignBankVariant=48
far_2	occurrence?id_SignBankVariant=1181

farm	occurrence?id_SignBankVariant=1182
farm* (farm+agent)	occurrence?id_SignBankVariant=3588
farm_2	occurrence?id_SignBankVariant=1183
farm_2* (farm_2+agent)	occurrence?id_SignBankVariant=3591

farm+agent	occurrence?id_SignBankVariant=3587

farm_2+agent	occurrence?id_SignBankVariant=3590

fart	occurrence?id_SignBankVariant=7656

fascinate	occurrence?id_SignBankVariant=1184
(1h)fascinate	occurrence?id_SignBankVariant=6508

fast	occurrence?id_SignBankVariant=1185
fast_2	occurrence?id_SignBankVariant=1186

fast_3	occurrence?id_SignBankVariant=1187
(1h)fast_3	occurrence?id_SignBankVariant=7750

fasting	occurrence?id_SignBankVariant=1188

fat	occurrence?id_SignBankVariant=1189
fat_2	occurrence?id_SignBankVariant=1190

father	occurrence?id_SignBankVariant=1191
*father (mother+father)	occurrence?id_SignBankVariant=3837
*fatherwg (turn+fatherwg)	occurrence?id_SignBankVariant=4189
father* (father+in+law)	occurrence?id_SignBankVariant=3594
father* (father+law)	occurrence?id_SignBankVariant=3598
fatherwg	occurrence?id_SignBankVariant=1192
fatherwg* (fatherwg+law)	occurrence?id_SignBankVariant=3601

father+in+law	occurrence?id_SignBankVariant=3593

father+law	occurrence?id_SignBankVariant=3597

fatherwg+law	occurrence?id_SignBankVariant=3600

fault	occurrence?id_SignBankVariant=1193

favorite/prefer	occurrence?id_SignBankVariant=1194

#fax	occurrence?id_SignBankVariant=5453

fax	occurrence?id_SignBankVariant=1195
(vulcan)fax	occurrence?id_SignBankVariant=356

#fb	occurrence?id_SignBankVariant=5580

feather	occurrence?id_SignBankVariant=1196

#feb	occurrence?id_SignBankVariant=5994

fed-up/full	occurrence?id_SignBankVariant=1197

federal	occurrence?id_SignBankVariant=1198

feeble-minded	occurrence?id_SignBankVariant=5649

feed	occurrence?id_SignBankVariant=1199
(1h)feed	occurrence?id_SignBankVariant=83

feedback	occurrence?id_SignBankVariant=1200
feedback_2	occurrence?id_SignBankVariant=1201

feedback_3	occurrence?id_SignBankVariant=7876

feel	occurrence?id_SignBankVariant=1202
(2h)feel	occurrence?id_SignBankVariant=151
(2h)feel* ((2h)feel+none/nothing)	occurrence?id_SignBankVariant=6173
feel* (feel+deflate)	occurrence?id_SignBankVariant=3604
feel* (feel+grief)	occurrence?id_SignBankVariant=3607
feel* (feel+none/nothing)	occurrence?id_SignBankVariant=3610

feel+deflate	occurrence?id_SignBankVariant=3603

feel+grief	occurrence?id_SignBankVariant=3606

(2h)feel+none/nothing	occurrence?id_SignBankVariant=6175

feel+none/nothing	occurrence?id_SignBankVariant=3609

feel-foolish	occurrence?id_SignBankVariant=5710

female-cousin	occurrence?id_SignBankVariant=1203

female-figure	occurrence?id_SignBankVariant=1204

fence	occurrence?id_SignBankVariant=1205

ferris-wheel/fair	occurrence?id_SignBankVariant=1206

few	occurrence?id_SignBankVariant=1207
*few (think+few)	occurrence?id_SignBankVariant=6348
few_2	occurrence?id_SignBankVariant=1209

few/close	occurrence?id_SignBankVariant=1208

#ff	occurrence?id_SignBankVariant=17
#ff_2	occurrence?id_SignBankVariant=18
*#ff ((s)old+#ff)	occurrence?id_SignBankVariant=3191
*#ff (old+#ff)	occurrence?id_SignBankVariant=5515

fiance	occurrence?id_SignBankVariant=1210

fs-field+hockey	occurrence?id_SignBankVariant=5776

fifteen	occurrence?id_SignBankVariant=1211

fifth	occurrence?id_SignBankVariant=1212
fifth_2	occurrence?id_SignBankVariant=1214

fifth-in-list	occurrence?id_SignBankVariant=4724

fifth-place	occurrence?id_SignBankVariant=1213

fifty-five	occurrence?id_SignBankVariant=1215

fight	occurrence?id_SignBankVariant=1216
fight_2	occurrence?id_SignBankVariant=1217

figure-out	occurrence?id_SignBankVariant=1218

file	occurrence?id_SignBankVariant=1219
(nd-b-l)file	occurrence?id_SignBankVariant=290
(vulcan)file	occurrence?id_SignBankVariant=357
file_2	occurrence?id_SignBankVariant=5680

fill-out	occurrence?id_SignBankVariant=1220

filthy	occurrence?id_SignBankVariant=1221

finally	occurrence?id_SignBankVariant=1222
finally_2	occurrence?id_SignBankVariant=1223

financial	occurrence?id_SignBankVariant=1224

find/find-out	occurrence?id_SignBankVariant=1225
find/find-out* (find/find-out+#out)	occurrence?id_SignBankVariant=5283

find/find-out+#out	occurrence?id_SignBankVariant=5309

fine	occurrence?id_SignBankVariant=1226
fine_2	occurrence?id_SignBankVariant=4591
finewg	occurrence?id_SignBankVariant=4411

finger	occurrence?id_SignBankVariant=1227

fingerprints	occurrence?id_SignBankVariant=1228
(1)fingerprints	occurrence?id_SignBankVariant=49

fingers	occurrence?id_SignBankVariant=1229

fingers-crossed	occurrence?id_SignBankVariant=4795

fingerspell	occurrence?id_SignBankVariant=1230

finish	occurrence?id_SignBankVariant=1231
(1h)finish	occurrence?id_SignBankVariant=84
(1h)finish-shake	occurrence?id_SignBankVariant=6576
*finish ((p)pay+finish)	occurrence?id_SignBankVariant=3185
