a	A	occurrence?id_SignBankVariant=373

book-page	folio, leaf, page, sheet, sheet (in a book)	occurrence?id_SignBankVariant=622

boot	boot	occurrence?id_SignBankVariant=624

bore	bored, boring, dry, dull, monotonous, tedious, unexciting	occurrence?id_SignBankVariant=625

born	be born, birthed, born, spawned	occurrence?id_SignBankVariant=626
(s)born	be born, birthed, born, spawned	occurrence?id_SignBankVariant=337
birth	be born, birthed, born, spawned	occurrence?id_SignBankVariant=583

borrow	borrow, lease, lend	occurrence?id_SignBankVariant=627

boss	boss, capital, captain, chairperson, chief, superior	occurrence?id_SignBankVariant=628
boss* (boss+lowercase/tiny)	boss, capital, captain, chairperson, chief, superior	occurrence?id_SignBankVariant=3328

boss+lowercase/tiny	lowercase	occurrence?id_SignBankVariant=3327

ns-boston	Boston	occurrence?id_SignBankVariant=1960

both	both	occurrence?id_SignBankVariant=629

bother	annoy, bother, disturb, exasperate, interfere, irk, vex	occurrence?id_SignBankVariant=630
(1h)bother	annoy, bother, disturb, exasperate, interfere, irk, vex	occurrence?id_SignBankVariant=6439
bother-1p	annoy, bother, disturb, exasperate, interfere, irk, vex	occurrence?id_SignBankVariant=631

bottle	bottle	occurrence?id_SignBankVariant=632
bottle-pl	bottle	occurrence?id_SignBankVariant=633
bottle_2	bottle	occurrence?id_SignBankVariant=4741

bowel-movement	BM, bowel movement, feces, poop, shit	occurrence?id_SignBankVariant=634

bowl	bowl, curved dish	occurrence?id_SignBankVariant=635
*bowl (toilet+bowl)	bowl, curved dish	occurrence?id_SignBankVariant=5567
bowl-pl	bowl, curved dish	occurrence?id_SignBankVariant=636

bowling	bowling	occurrence?id_SignBankVariant=637
(crvd-3)bowling	bowling	occurrence?id_SignBankVariant=220
bowling_2	bowling	occurrence?id_SignBankVariant=640

bowling-strike	bowling strike, strike	occurrence?id_SignBankVariant=638

bowling-strike_2	bowling-strike_2	occurrence?id_SignBankVariant=639

(u)bowtie	bowtie, ribbon, tuxedo, usher	occurrence?id_SignBankVariant=345

bowtie	bowtie, ribbon, tuxedo, usher	occurrence?id_SignBankVariant=641

box/room	box, package, room	occurrence?id_SignBankVariant=642
*(r)room (class+(r)room)	box, package, room	occurrence?id_SignBankVariant=6236
*box/room ((2h)alt.fancy+box/room)	box, package, room	occurrence?id_SignBankVariant=6114
*box/room ((l)live+box/room)	box, package, room	occurrence?id_SignBankVariant=3182
*box/room (become+box/room)	box, package, room	occurrence?id_SignBankVariant=7661
*box/room (bed+box/room)	box, package, room	occurrence?id_SignBankVariant=3293
*box/room (class+box/room)	box, package, room	occurrence?id_SignBankVariant=3433
*box/room (class_2+box/room)	box, package, room	occurrence?id_SignBankVariant=5043
*box/room (cook/kitchen+box/room)	box, package, room	occurrence?id_SignBankVariant=3445
*box/room (court+box/room)	box, package, room	occurrence?id_SignBankVariant=3457
*box/room (dinner+box/room)	box, package, room	occurrence?id_SignBankVariant=3478
*box/room (eat+box/room)	box, package, room	occurrence?id_SignBankVariant=3538
*box/room (family+box/room)	box, package, room	occurrence?id_SignBankVariant=5610
*box/room (fancy+box/room)	box, package, room	occurrence?id_SignBankVariant=3583
*box/room (fs-locker+box/room)	box, package, room	occurrence?id_SignBankVariant=6566
box/room-pl	box, package, room	occurrence?id_SignBankVariant=643

box/room_3	box, package, room	occurrence?id_SignBankVariant=6493

box_2	block, box	occurrence?id_SignBankVariant=644

boxing	boxing	occurrence?id_SignBankVariant=645
boxing_2	boxing	occurrence?id_SignBankVariant=646

boy	boy, lad, male child	occurrence?id_SignBankVariant=647
*boy* (turn+boy+correct)	boy, lad, male child	occurrence?id_SignBankVariant=6178
*boy_2* (turn+boy_2+correct)	boy, lad, male child	occurrence?id_SignBankVariant=4182
boy* (boy+also)	boy, lad, male child	occurrence?id_SignBankVariant=3331
boy* (boy+baby)	boy, lad, male child	occurrence?id_SignBankVariant=3337
boy* (boy+baby_2)	boy, lad, male child	occurrence?id_SignBankVariant=7693
boy* (boy+correct)	boy, lad, male child	occurrence?id_SignBankVariant=3340
boy* (boy+dcl"round flat")	boy, lad, male child	occurrence?id_SignBankVariant=3346
boy* (boy+friend)	boy, lad, male child	occurrence?id_SignBankVariant=3349
boy* (boy+marry)	boy, lad, male child	occurrence?id_SignBankVariant=6205
boy* (boy+scout)	boy, lad, male child	occurrence?id_SignBankVariant=5022
boy_2* (boy_2+also)	boy, lad, male child	occurrence?id_SignBankVariant=3352
boy_2* (boy_2+correct)	boy, lad, male child	occurrence?id_SignBankVariant=3355
boy_2* (boy_2+correct+law)	boy, lad, male child	occurrence?id_SignBankVariant=3358
boy_2* (boy_2+correct_2+law)	boy, lad, male child	occurrence?id_SignBankVariant=7706
boy_3* (boy_3+marry)	boy, lad, male child	occurrence?id_SignBankVariant=3362

boy+also	brother	occurrence?id_SignBankVariant=3330

boy+baby	son	occurrence?id_SignBankVariant=3336

boy+baby_2	boy+baby_2	occurrence?id_SignBankVariant=7702

boy+correct	brother	occurrence?id_SignBankVariant=3339

boy+dcl"round flat"	manhole	occurrence?id_SignBankVariant=3345

boy+friend	boyfriend	occurrence?id_SignBankVariant=3348

boy+marry	boy+marry	occurrence?id_SignBankVariant=6319

boy+scout	boy+scout	occurrence?id_SignBankVariant=5225

boy_2+also	brother	occurrence?id_SignBankVariant=3351

boy_2+correct	brother	occurrence?id_SignBankVariant=3354

boy_2+correct+law	brother-in-law	occurrence?id_SignBankVariant=3357

boy_2+correct_2+law	boy_2+correct_2+law	occurrence?id_SignBankVariant=7705

boy_3+marry	husband	occurrence?id_SignBankVariant=3361

bra	bra, brassiere	occurrence?id_SignBankVariant=649
*bra (underpants+bra)	bra, brassiere	occurrence?id_SignBankVariant=4208
bra* (bra+underpants)	bra, brassiere	occurrence?id_SignBankVariant=3365
bra_2	bra, brassiere	occurrence?id_SignBankVariant=650
bra_2* (bra_2+underpants)	bra, brassiere	occurrence?id_SignBankVariant=7670

bra+underpants	bra and underpants	occurrence?id_SignBankVariant=3364

bra_2+underpants	bra_2+underpants	occurrence?id_SignBankVariant=7659

bracelet	band, bracelet, strap, watch, wristband	occurrence?id_SignBankVariant=651
bracelet_2	band, bracelet, strap, watch, wristband	occurrence?id_SignBankVariant=652

braces-teeth	braces	occurrence?id_SignBankVariant=5932

brag	arrogant, bluster, boast, brag, braggart, crow, pompous, show off, swagger	occurrence?id_SignBankVariant=653

braid	braid	occurrence?id_SignBankVariant=5630

brake	brake, hit the brake	occurrence?id_SignBankVariant=654
(5-c-l)brake	brake, hit the brake	occurrence?id_SignBankVariant=189

brave/recover	brave, courageous, heal, healthy, recover, well	occurrence?id_SignBankVariant=655

brawl	altercation, argument, brawl, fight, quarrel, squabble	occurrence?id_SignBankVariant=656

bread	bread	occurrence?id_SignBankVariant=657
bread* (bread+dcl"rounded rectangle")	bread	occurrence?id_SignBankVariant=3368

bread+dcl"rounded rectangle"	loaf of bread	occurrence?id_SignBankVariant=3367

break	break, broken, fracture, violate	occurrence?id_SignBankVariant=658
break* (break+(2h)fs-up)	break, broken, fracture, violate	occurrence?id_SignBankVariant=6720
break* (break+enter)	break, broken, fracture, violate	occurrence?id_SignBankVariant=4909

break+(2h)fs-up	break+(2h)fs-up	occurrence?id_SignBankVariant=6722

break+enter	break+enter	occurrence?id_SignBankVariant=5224

break-down	break down, breakdown, buckle, cave-in, collapse, crumple, fall apart, give way	occurrence?id_SignBankVariant=659

break-down-building	break down something tall, destroy something tall	occurrence?id_SignBankVariant=660

breakfast	breakfast	occurrence?id_SignBankVariant=4555

breasts	breasts, mammary glands, tits	occurrence?id_SignBankVariant=661

breathe	breathe, exhale, inhale, sigh, take in oxygen	occurrence?id_SignBankVariant=662
(1h)breathe	breathe, exhale, inhale, sigh, take in oxygen	occurrence?id_SignBankVariant=6612

brick_2	block, brick	occurrence?id_SignBankVariant=6501

bridge	bridge, overpass	occurrence?id_SignBankVariant=663
(crvd-v)bridge	bridge, overpass	occurrence?id_SignBankVariant=229

bring	bring	occurrence?id_SignBankVariant=664
bring-1p	bring-1p	occurrence?id_SignBankVariant=665
carry	carry	occurrence?id_SignBankVariant=727

ns-britain	Britain	occurrence?id_SignBankVariant=1961

broccoli	broccoli	occurrence?id_SignBankVariant=4445

broil	broil	occurrence?id_SignBankVariant=5931

broke	broke, out of money	occurrence?id_SignBankVariant=666
(2h)broke	broke, out of money	occurrence?id_SignBankVariant=5491

ns-brookline	Brookline	occurrence?id_SignBankVariant=4370

(s)broom	broom, sweep	occurrence?id_SignBankVariant=338

broom	broom, sweep	occurrence?id_SignBankVariant=667
broom_2	broom, sweep	occurrence?id_SignBankVariant=668

brother	brother	occurrence?id_SignBankVariant=669
*brother (half_3+brother)	brother	occurrence?id_SignBankVariant=5548
*brother (sister+brother)	brother	occurrence?id_SignBankVariant=5599
*brother (turn+brother)	brother	occurrence?id_SignBankVariant=4186
brother* (brother+in+law)	brother	occurrence?id_SignBankVariant=3371
brother* (brother+law)	brother	occurrence?id_SignBankVariant=6159
brother-pl	brother	occurrence?id_SignBankVariant=670

brother+in+law	brother-in-law	occurrence?id_SignBankVariant=3370

brother+law	brother+law	occurrence?id_SignBankVariant=6229

brown	brown	occurrence?id_SignBankVariant=671

brush-teeth	brush one's teeth	occurrence?id_SignBankVariant=672

#bsl	#bsl	occurrence?id_SignBankVariant=6365

bucket	bucket, pail	occurrence?id_SignBankVariant=673

bug	bug, insect, pest	occurrence?id_SignBankVariant=674

build	build, build up, building, construct, construction, erect, structure	occurrence?id_SignBankVariant=675
(u-l)build	build, build up, building, construct, construction, erect, structure	occurrence?id_SignBankVariant=349

ns-bulgaria	Bulgaria	occurrence?id_SignBankVariant=1962
ns-bulgaria_2	Bulgaria	occurrence?id_SignBankVariant=1963

(y)bull	bull	occurrence?id_SignBankVariant=364

bull	bull, nose ring	occurrence?id_SignBankVariant=677

ns-burger-king	Burger King	occurrence?id_SignBankVariant=1964

(2h)#burn	(2h)#burn	occurrence?id_SignBankVariant=4455
*#burn (fs-sun+#burn)	*#burn (fs-sun+#burn)	occurrence?id_SignBankVariant=5017

burp	burp, indigestion	occurrence?id_SignBankVariant=6928

burst	burst	occurrence?id_SignBankVariant=4604
*burst (think+burst)	burst	occurrence?id_SignBankVariant=5322

bury	bury, entomb, inter, lay to rest	occurrence?id_SignBankVariant=678

bury_2	bury, entomb, inter, lay to rest	occurrence?id_SignBankVariant=5683

#bus	#bus	occurrence?id_SignBankVariant=9
#bus* (#bus+drive+agent)	#bus* (#bus+drive+agent)	occurrence?id_SignBankVariant=6350

#bus+drive+agent	#bus+drive+agent	occurrence?id_SignBankVariant=6352

busted	busted, caught, nabbed	occurrence?id_SignBankVariant=4784

busy/business	business, busy, company, engaged, hard at work, involved, occupied	occurrence?id_SignBankVariant=4647
business	business, busy, company, engaged, hard at work, involved, occupied	occurrence?id_SignBankVariant=679
business_2	business, busy, company, engaged, hard at work, involved, occupied	occurrence?id_SignBankVariant=681
business_3	business, busy, company, engaged, hard at work, involved, occupied	occurrence?id_SignBankVariant=7712
busy	business, busy, company, engaged, hard at work, involved, occupied	occurrence?id_SignBankVariant=682
busy_2	business, busy, company, engaged, hard at work, involved, occupied	occurrence?id_SignBankVariant=684

but	although, but, howeer, unlike	occurrence?id_SignBankVariant=685
(1h)but	although, but, howeer, unlike	occurrence?id_SignBankVariant=4608

#but	#but	occurrence?id_SignBankVariant=6607

butter	butter	occurrence?id_SignBankVariant=686
*butter (nut+butter)	butter	occurrence?id_SignBankVariant=4899
butter_2	butter	occurrence?id_SignBankVariant=687

butterfly	butterfly	occurrence?id_SignBankVariant=688

button	button	occurrence?id_SignBankVariant=689

buy	buy, purchase, shop, shopping	occurrence?id_SignBankVariant=690
*buy (eat+buy)	buy, purchase, shop, shopping	occurrence?id_SignBankVariant=3541
buy* (buy+agent)	buy, purchase, shop, shopping	occurrence?id_SignBankVariant=3375

buy+agent	buyer	occurrence?id_SignBankVariant=3374

(baby-o)by-a-hair	almost, almost happened, barely, by a hair, close, close call, nearly	occurrence?id_SignBankVariant=4644

c	C	occurrence?id_SignBankVariant=691

cabbage	cabbage, garbage, lettuce	occurrence?id_SignBankVariant=692
(a)cabbage	cabbage, garbage, lettuce	occurrence?id_SignBankVariant=196

cabinet	cabinet, cupboard	occurrence?id_SignBankVariant=693
cupboard	cabinet, cupboard	occurrence?id_SignBankVariant=905

cabinet_2	cabinet, cupboard	occurrence?id_SignBankVariant=5934

caesarean-section	C-Section, Caesarean section	occurrence?id_SignBankVariant=694
caesarean-section_2	C-Section, Caesarean section	occurrence?id_SignBankVariant=695

cafeteria	cafeteria	occurrence?id_SignBankVariant=696

cake	bread rising, cake, rise	occurrence?id_SignBankVariant=697

calculator	calculate, calculator, cash register	occurrence?id_SignBankVariant=698
calculator* (calculator+agent)	calculate, calculator, cash register	occurrence?id_SignBankVariant=6680

calculator+agent	calculator+agent	occurrence?id_SignBankVariant=6694

calculus	calculus	occurrence?id_SignBankVariant=699

calendar	calendar, chart, diagram, graph, graphic, layout, schedule, spreadsheet, table	occurrence?id_SignBankVariant=700
calendar_2	calendar, chart, diagram, graph, graphic, layout, schedule, spreadsheet, table	occurrence?id_SignBankVariant=701

call-by-phone	call on the phone, call on the telephone, make a phone call, make a telephone call, use the phone	occurrence?id_SignBankVariant=702
call-by-phone:j	call on the phone, call on the telephone, make a phone call, make a telephone call, use the phone	occurrence?id_SignBankVariant=4365
i:call-by-phone-1p	call on the phone, call on the telephone, make a phone call, make a telephone call, use the phone	occurrence?id_SignBankVariant=4363
i:call-by-phone:j	call on the phone, call on the telephone, make a phone call, make a telephone call, use the phone	occurrence?id_SignBankVariant=4758

call-on-relay/vrs	call on relay service, call on TTY, telegram	occurrence?id_SignBankVariant=703
call-on-relay/vrs* (call-on-relay/vrs+contact)	call on relay service, call on TTY, telegram	occurrence?id_SignBankVariant=6117
i:call-on-relay/vrs-1p	call on relay service, call on TTY, telegram	occurrence?id_SignBankVariant=4613

call-on-relay/vrs+contact	call-on-relay/vrs+contact	occurrence?id_SignBankVariant=6227

calm-down	calm down	occurrence?id_SignBankVariant=704

camera	camera, photo, photograph, photography, picture, snapshot	occurrence?id_SignBankVariant=705

camera-flash	take a picture	occurrence?id_SignBankVariant=706
camera-flash_2	take a picture	occurrence?id_SignBankVariant=6011

camp	cabin, camp, camping, tent	occurrence?id_SignBankVariant=707
camp_2	cabin, camp, camping, tent	occurrence?id_SignBankVariant=6715

can	able, can, capable, could, possible, possibly	occurrence?id_SignBankVariant=708
(1h)can	able, can, capable, could, possible, possibly	occurrence?id_SignBankVariant=4701

cancel/criticize	cancel, cancellation, correct something, critical, criticize	occurrence?id_SignBankVariant=709

candle	candle, candlelight, flame	occurrence?id_SignBankVariant=710
candle-pl-arc	candle, candlelight, flame	occurrence?id_SignBankVariant=6369

candy	candy, sugar, sweets	occurrence?id_SignBankVariant=711
candy* (candy+dcl"cane")	candy, sugar, sweets	occurrence?id_SignBankVariant=6554
candy* (candy+fs-cane)	candy, sugar, sweets	occurrence?id_SignBankVariant=3381

candy+dcl"cane"	candy cane	occurrence?id_SignBankVariant=3377

candy+fs-cane	candy cane	occurrence?id_SignBankVariant=3380

cane	cane, walker, walking stick	occurrence?id_SignBankVariant=712
(2h)cane	cane, walker, walking stick	occurrence?id_SignBankVariant=142

cannot	can't, cannot, couldn't, unable	occurrence?id_SignBankVariant=713
(1h)cannot	can't, cannot, couldn't, unable	occurrence?id_SignBankVariant=6600

cannot-stand	can't stand, cannot stand	occurrence?id_SignBankVariant=6763

cap	ball cap, baseball cap, baseball hat, cap, hat	occurrence?id_SignBankVariant=5643

capital-letter	capital letter	occurrence?id_SignBankVariant=714
(2h)capital-letter	capital letter	occurrence?id_SignBankVariant=143

captions	captioning, captions, closed captioning, closed captions, grammar, message, prose, sentence, statement	occurrence?id_SignBankVariant=715

car	automobile, car, motor carriage, vehicle	occurrence?id_SignBankVariant=716
car* (car+agent)	automobile, car, motor carriage, vehicle	occurrence?id_SignBankVariant=5102
car* (car+dcl"curved surface")	automobile, car, motor carriage, vehicle	occurrence?id_SignBankVariant=3384
car* (car+dcl"long flat surface")	automobile, car, motor carriage, vehicle	occurrence?id_SignBankVariant=3387
car* (car+dcl:1"speedometer")	automobile, car, motor carriage, vehicle	occurrence?id_SignBankVariant=3390
car* (car+engine)	automobile, car, motor carriage, vehicle	occurrence?id_SignBankVariant=5336
car* (car+trunk)	automobile, car, motor carriage, vehicle	occurrence?id_SignBankVariant=3396
car:j	automobile, car, motor carriage, vehicle	occurrence?id_SignBankVariant=6449

#car	#car	occurrence?id_SignBankVariant=4326

car+agent	car+agent	occurrence?id_SignBankVariant=5199

car+dcl"curved surface"	dashboard	occurrence?id_SignBankVariant=3383

car+dcl"long flat surface"	dashboard	occurrence?id_SignBankVariant=3386

car+dcl:1"speedometer"	speedometer	occurrence?id_SignBankVariant=3389

car+engine	car engine	occurrence?id_SignBankVariant=3392

car+trunk	trunk of a car	occurrence?id_SignBankVariant=3395

car-horn	honk the horn	occurrence?id_SignBankVariant=717
car-horn_2	honk the horn	occurrence?id_SignBankVariant=718

cardigan	cardigan, sweater	occurrence?id_SignBankVariant=719
cardigan_2	cardigan, sweater	occurrence?id_SignBankVariant=720

care	be careful, care for, take care of	occurrence?id_SignBankVariant=721
*care (baby+care)	be careful, care for, take care of	occurrence?id_SignBankVariant=6726
*care* (baby+care+agent)	be careful, care for, take care of	occurrence?id_SignBankVariant=5391
care* (care+agent)	be careful, care for, take care of	occurrence?id_SignBankVariant=3399
care:j	be careful, care for, take care of	occurrence?id_SignBankVariant=4519
care_2	be careful, care for, take care of	occurrence?id_SignBankVariant=722
care_2* (care_2+agent)	be careful, care for, take care of	occurrence?id_SignBankVariant=6299

care+agent	caretaker, supervisor	occurrence?id_SignBankVariant=3398

care_2+agent	care_2+agent	occurrence?id_SignBankVariant=6285

careless	careless, reckless, shoddy, slapdash	occurrence?id_SignBankVariant=723
(1h)careless	careless, reckless, shoddy, slapdash	occurrence?id_SignBankVariant=69

ns-carol	Carol	occurrence?id_SignBankVariant=4494

carpenter	carpenter, woodworker	occurrence?id_SignBankVariant=724
carpenter* (carpenter+agent)	carpenter, woodworker	occurrence?id_SignBankVariant=5485

carpenter+agent	carpenter+agent	occurrence?id_SignBankVariant=5782

carrot	carrot	occurrence?id_SignBankVariant=725
(1)carrot	carrot	occurrence?id_SignBankVariant=44

carrot_2	carrot	occurrence?id_SignBankVariant=726

carry-suitcase	carry suitcases	occurrence?id_SignBankVariant=728

*cart (wheel+cart)	*cart (wheel+cart)	occurrence?id_SignBankVariant=4274

#cash	#cash	occurrence?id_SignBankVariant=5611

cashier	cashier	occurrence?id_SignBankVariant=729
cashier* (cashier+agent)	cashier	occurrence?id_SignBankVariant=3402

cashier+agent	cashier	occurrence?id_SignBankVariant=3401

cat	cat, feline, kitten, kitty, whiskers	occurrence?id_SignBankVariant=730
(2h)cat	cat, feline, kitten, kitty, whiskers	occurrence?id_SignBankVariant=144
(2h)cat_2	cat, feline, kitten, kitty, whiskers	occurrence?id_SignBankVariant=145
cat* (cat+fs-up)	cat, feline, kitten, kitty, whiskers	occurrence?id_SignBankVariant=3405
cat* (cat+up)	cat, feline, kitten, kitty, whiskers	occurrence?id_SignBankVariant=3408
cat* (cat+up_2)	cat, feline, kitten, kitty, whiskers	occurrence?id_SignBankVariant=6136

cat+fs-up	catsup, ketchup	occurrence?id_SignBankVariant=3404

cat+up	catsup, ketchup	occurrence?id_SignBankVariant=3407

cat+up_2	cat+up_2	occurrence?id_SignBankVariant=6322

catch	apprehend, catch, grab, nab, snatch, take hold of	occurrence?id_SignBankVariant=731
catch_2	apprehend, catch, grab, nab, snatch, take hold of	occurrence?id_SignBankVariant=735

catch-ball	catch a ball	occurrence?id_SignBankVariant=732
catch-ball_2	catch a ball	occurrence?id_SignBankVariant=733
catch-ball_3	catch a ball	occurrence?id_SignBankVariant=734

catch_4	apprehend, catch, grab, nab, snatch, take hold of	occurrence?id_SignBankVariant=6039

caterpillar	caterpillar, worm	occurrence?id_SignBankVariant=736
caterpillar_2	caterpillar, worm	occurrence?id_SignBankVariant=737

catholic	Catholic, christian, church, religion	occurrence?id_SignBankVariant=738

cause	bring about, cause, give rise to, influence, result in	occurrence?id_SignBankVariant=739

#cc	#cc	occurrence?id_SignBankVariant=10

#cd	#cd	occurrence?id_SignBankVariant=4491

ceiling	ceiling, overhead	occurrence?id_SignBankVariant=740

ceiling-fan	ceiling fan	occurrence?id_SignBankVariant=6004

celebrate	anniversary, celebrate, celebration, festival, holiday, victory	occurrence?id_SignBankVariant=741
(x-over-thumb)celebrate	anniversary, celebrate, celebration, festival, holiday, victory	occurrence?id_SignBankVariant=360
celebrate* (celebrate+(2h)ix-honorific:upward)	anniversary, celebrate, celebration, festival, holiday, victory	occurrence?id_SignBankVariant=3411

celebrate+(2h)ix-honorific:upward	hallelujah	occurrence?id_SignBankVariant=3410

cent	cent, coin, money, penny	occurrence?id_SignBankVariant=5430
cent* (cent+eight)	cent, coin, money, penny	occurrence?id_SignBankVariant=3414
cent* (cent+five)	cent, coin, money, penny	occurrence?id_SignBankVariant=3417
cent* (cent+one)	cent, coin, money, penny	occurrence?id_SignBankVariant=3420
cent* (cent+one_2)	cent, coin, money, penny	occurrence?id_SignBankVariant=7662
cent* (cent+ten)	cent, coin, money, penny	occurrence?id_SignBankVariant=3423
cent* (cent+twenty-five)	cent, coin, money, penny	occurrence?id_SignBankVariant=3426

cent+eight	eight cents	occurrence?id_SignBankVariant=3413

cent+five	five cents	occurrence?id_SignBankVariant=3416

cent+one	one cent	occurrence?id_SignBankVariant=3419

cent+one_2	cent+one_2	occurrence?id_SignBankVariant=7669

cent+ten	ten cents	occurrence?id_SignBankVariant=3422

cent+twenty-five	twenty-five cents	occurrence?id_SignBankVariant=3425

center	center, central, median, middle, nucleus	occurrence?id_SignBankVariant=742
center* (center+ns-america)	center, central, median, middle, nucleus	occurrence?id_SignBankVariant=3429

center+ns-america	Central America	occurrence?id_SignBankVariant=3428

ns-central-america	Central America	occurrence?id_SignBankVariant=1966

cereal	cereal	occurrence?id_SignBankVariant=743
cereal_2	cereal	occurrence?id_SignBankVariant=744

cereal_3	cereal_3	occurrence?id_SignBankVariant=5644

certify	certificate, certification, certify, credential, qualified	occurrence?id_SignBankVariant=745

chain/olympics	chain, connect, connection, olympics	occurrence?id_SignBankVariant=746

chalk	chalk, write on blackboard, write on chalkboard, write on whiteboard	occurrence?id_SignBankVariant=747
*chalk (white+chalk)	chalk, write on blackboard, write on chalkboard, write on whiteboard	occurrence?id_SignBankVariant=4280

challenge	challenge, challenging, competition, dare, difficult, game, hard, play against	occurrence?id_SignBankVariant=748
challenge-arc	challenge, challenging, competition, dare, difficult, game, hard, play against	occurrence?id_SignBankVariant=7757

champ	champ, champion, championship, winner	occurrence?id_SignBankVariant=749
(crvd-3)champ	champ, champion, championship, winner	occurrence?id_SignBankVariant=221
(crvd-v)champ	champ, champion, championship, winner	occurrence?id_SignBankVariant=230

chance	chance, happenstance, luck, opportunity, possibility, prospect	occurrence?id_SignBankVariant=750

change	adapt, adjust, alter, amend, change, modify, revise	occurrence?id_SignBankVariant=751

channel	channel	occurrence?id_SignBankVariant=752
(crvd-3)channel	channel	occurrence?id_SignBankVariant=222

chapter	chapter	occurrence?id_SignBankVariant=753

character	character, characteristic	occurrence?id_SignBankVariant=754

characteristic	character, characteristic	occurrence?id_SignBankVariant=755

charge-on-credit-card	charge, charge on a credit card	occurrence?id_SignBankVariant=6668

ns-charlotte	Charlotte	occurrence?id_SignBankVariant=1967

chase	catch up to, chase, follow, stalk	occurrence?id_SignBankVariant=756
i:chase:j	catch up to, chase, follow, stalk	occurrence?id_SignBankVariant=4369

chat	chat, company, conversation, converse, guests, talk	occurrence?id_SignBankVariant=757
chat:j	chat, company, conversation, converse, guests, talk	occurrence?id_SignBankVariant=4675

cheap	affordable, cheap, economical, inexpensive, low cost, low priced	occurrence?id_SignBankVariant=758
cheap* (cheap+(1h)most)	affordable, cheap, economical, inexpensive, low cost, low priced	occurrence?id_SignBankVariant=5113

cheap+(1h)most	cheap+(1h)most	occurrence?id_SignBankVariant=5204

cheat	cheat, deceive, defraud, swindle, trick	occurrence?id_SignBankVariant=759
cheat_2	cheat, deceive, defraud, swindle, trick	occurrence?id_SignBankVariant=760

(1)cheat	cheat, deceive, defraud, swindle, trick	occurrence?id_SignBankVariant=45
(elbow)cheat	cheat, deceive, defraud, swindle, trick	occurrence?id_SignBankVariant=239

check	approve, check, check out, inspect, investigate	occurrence?id_SignBankVariant=761
(x-over-thumb)check	check mark, check off	occurrence?id_SignBankVariant=361
check* (check+fs-list)	approve, check, check out, inspect, investigate	occurrence?id_SignBankVariant=6609

check+fs-list	check+fs-list	occurrence?id_SignBankVariant=6638

check-bounce	bounce a check	occurrence?id_SignBankVariant=5818

check_list	check mark, check off	occurrence?id_SignBankVariant=762

checkers	checkers	occurrence?id_SignBankVariant=763
*(2h)checkers (red+black+(2h)checkers)	checkers	occurrence?id_SignBankVariant=6148
*checkers (red+black+checkers)	checkers	occurrence?id_SignBankVariant=3990

checking-account	checking account	occurrence?id_SignBankVariant=764

(2h)alt.cheer	cheer	occurrence?id_SignBankVariant=4668

cheese	cheese	occurrence?id_SignBankVariant=765
*cheese (fs-cream+cheese)	cheese	occurrence?id_SignBankVariant=4916

chemistry	chemical, chemistry	occurrence?id_SignBankVariant=766
chemistry* (chemistry+agent)	chemical, chemistry	occurrence?id_SignBankVariant=5587

chemistry+agent	chemistry+agent	occurrence?id_SignBankVariant=5708

cherish	cherish, miserly, precious, stingy, treasure	occurrence?id_SignBankVariant=767

cherry	cherry	occurrence?id_SignBankVariant=768

chest	breast, chest, torso, upper body	occurrence?id_SignBankVariant=769
chest_2	breast, chest, torso, upper body	occurrence?id_SignBankVariant=770

chew	chew, masticate	occurrence?id_SignBankVariant=771

ns-chicago	Chicago	occurrence?id_SignBankVariant=1968

child	child, children, young person, youth	occurrence?id_SignBankVariant=772
(1h)children	child, children, young person, youth	occurrence?id_SignBankVariant=70
*children (fs-grand+children)	child, children, young person, youth	occurrence?id_SignBankVariant=5876
children	child, children, young person, youth	occurrence?id_SignBankVariant=773

chin	chin	occurrence?id_SignBankVariant=774
chin_2	chin	occurrence?id_SignBankVariant=775

ns-china	China	occurrence?id_SignBankVariant=1969

chocolate	chocolate, cocoa	occurrence?id_SignBankVariant=776
*chocolate (hot+chocolate)	chocolate, cocoa	occurrence?id_SignBankVariant=5407

choke	choke	occurrence?id_SignBankVariant=777
(1h)choke-1p	choke	occurrence?id_SignBankVariant=71
choke-1p	choke	occurrence?id_SignBankVariant=778

choose	choose, pick, select	occurrence?id_SignBankVariant=779

chop	chop, slice	occurrence?id_SignBankVariant=5697

christ	Christ, Harvard	occurrence?id_SignBankVariant=780

christmas	Christmas, Noel, yule	occurrence?id_SignBankVariant=781
(2h)christmas	Christmas, Noel, yule	occurrence?id_SignBankVariant=146
(2h)christmas_2	Christmas, Noel, yule	occurrence?id_SignBankVariant=6699
christmas_2	Christmas, Noel, yule	occurrence?id_SignBankVariant=782

church	cathedral, chapel, church, house of worship	occurrence?id_SignBankVariant=783

cigar	cigar	occurrence?id_SignBankVariant=784

cigarette	cigarette	occurrence?id_SignBankVariant=785

